file_keys,BBC,Blanco,FXive,Farnell,Max,Saksela,,BBC,Blanco,FXive,Farnell,Max,Saksela
XJh80p8pPtpt3vptMxAuwXzNVIBUxcfc,0.919847328,0,0.56870229,0.683206107,0.783206107,0.154961832,,"0.919847328244274,","0,","0.568702290076335,","0.683206106870229,","0.783206106870229,","0.154961832061068,"
Uk0IWQduH9FKSMb5Q2PUDzjJdKQYVYDO,0.810945274,0.043419267,0.569425599,0.699683401,0.263681592,0.175033921,,"0.81094527363184,","0.0434192672998643,","0.569425599276345,","0.699683401175938,","0.263681592039801,","0.175033921302578,"
gYgeH5fgxFcsqCTgNFX6cflE2pZYUNov,0.9544,0.028,0.2728,0.4768,0.3696,0.1528,,"0.9544,","0.028,","0.2728,","0.4768,","0.3696,","0.1528,"
wQkwuqI4NETVMhiWDjC42SWOp0OLf48K,0.672453704,0.051316667,0.633069444,0.692923611,0.520385417,0.577931713,,"0.672453703703703,","0.0513166666666666,","0.633069444444444,","0.692923611111111,","0.520385416666666,","0.577931712962963,"
ExBcYKkPisgtkPx0UQtZd55f0vJGXN5e,0.78125,0.045138889,0.305555556,0.486111111,0.15625,0.202546296,,"0.78125,","0.0451388888888888,","0.305555555555555,","0.486111111111111,","0.15625,","0.202546296296296,"
rXgR3counAsaSeFSuqLz0V2egDAFotFS,0.9976,0.0096,0.3896,0.768,0.5408,0.0344,,"0.9976,","0.0096,","0.3896,","0.768,","0.5408,","0.0344,"
BkyduHMjaETdkTS6KmbN3o3lozAf4lwB,0.991408935,0.016323024,0.328178694,0.804123711,0.950171821,0.194158076,,"0.991408934707903,","0.0163230240549828,","0.328178694158075,","0.804123711340206,","0.950171821305841,","0.194158075601374,"
fI2BNvBZtNECJfOIyV4hgUrFooCFwBVw,0.914961637,0.282608696,0.479539642,0.803069054,0.724424552,0.22826087,,"0.914961636828644,","0.282608695652173,","0.479539641943734,","0.80306905370844,","0.724424552429667,","0.228260869565217,"
dYpqsOtXOp7ZpcOiTwssOqMFJrZi9i6I,0.986696231,0.018847007,0.294900222,0.094235033,0.202882483,0.557095344,,"0.986696230598669,","0.0188470066518847,","0.29490022172949,","0.0942350332594235,","0.202882483370288,","0.557095343680709,"
sMlNuZFqAXIuhB866mWIlBd1d6nUqxD5,0.493478261,0,0.135507246,0.324637681,0.420289855,0.547826087,,"0.493478260869565,","0,","0.135507246376811,","0.32463768115942,","0.420289855072463,","0.547826086956521,"
